Feature,Information Gain
temperature,0.9533125739386126
dewPoint,0.9508327647828914
apparentTemperature,0.9468370506385533
pressure,0.7678680303632319
windSpeed,0.5600174776393141
visibility,0.2198274660099715
windBearing,0.2180869997380297
precipIntensity,0.12374930361497016
humidity,0.09538327451316508
precipProbability,0.052823676815195064
