Feature,Information Gain
apparentTemperature,1.6637931616877548
temperature,1.6355428824285534
dewPoint,1.6347920153056146
pressure,1.396354123557713
windSpeed,1.08262350801178
windBearing,0.5086982218345799
visibility,0.4376792496563242
precipIntensity,0.2120756191543176
humidity,0.2077059566924655
precipProbability,0.09869772735191695
