Feature,Information Gain
apparentTemperature,1.441122383428218
temperature,1.425501658801057
dewPoint,1.416708981880329
pressure,1.093338261445032
windSpeed,0.8303173078442372
windBearing,0.35794889927376516
visibility,0.3225507526890006
precipIntensity,0.17191593512503722
humidity,0.15439615830822007
precipProbability,0.07836996561669096
